,Date,SecurityId,CompanyId,Ticker,IsoCountryCode,Close
1,2024-10-31,BRK.B,44925,BRK/B UN Equity,US,450.92
2,2024-10-31,CMB,37965,JPM UN Equity,US,221.92
3,2024-10-31,MSFT,52712,MSFT UW Equity,US,406.35
4,2024-10-31,NVDA,53501,NVDA UW Equity,US,132.76
5,2024-10-31,XOM,25079,XOM UN Equity,US,116.78
6,2024-10-30,BRK.B,44925,BRK/B UN Equity,US,454.96
7,2024-10-30,CMB,37965,JPM UN Equity,US,224.41
8,2024-10-30,MSFT,52712,MSFT UW Equity,US,432.53
9,2024-10-30,NVDA,53501,NVDA UW Equity,US,139.335
10,2024-10-30,XOM,25079,XOM UN Equity,US,116.69
11,2024-10-29,BRK.B,44925,BRK/B UN Equity,US,454.62
12,2024-10-29,CMB,37965,JPM UN Equity,US,222.9
13,2024-10-29,MSFT,52712,MSFT UW Equity,US,431.95
14,2024-10-29,NVDA,53501,NVDA UW Equity,US,141.25
15,2024-10-29,XOM,25079,XOM UN Equity,US,117.28
16,2024-10-28,BRK.B,44925,BRK/B UN Equity,US,458.49
17,2024-10-28,CMB,37965,JPM UN Equity,US,225.5
18,2024-10-28,MSFT,52712,MSFT UW Equity,US,426.59
19,2024-10-28,NVDA,53501,NVDA UW Equity,US,140.52
20,2024-10-28,XOM,25079,XOM UN Equity,US,118.9
21,2024-10-25,BRK.B,44925,BRK/B UN Equity,US,454.01
22,2024-10-25,CMB,37965,JPM UN Equity,US,222.31
23,2024-10-25,MSFT,52712,MSFT UW Equity,US,428.15
24,2024-10-25,NVDA,53501,NVDA UW Equity,US,141.54
25,2024-10-25,XOM,25079,XOM UN Equity,US,119.49
26,2024-10-24,BRK.B,44925,BRK/B UN Equity,US,457.77
27,2024-10-24,CMB,37965,JPM UN Equity,US,224.98
28,2024-10-24,MSFT,52712,MSFT UW Equity,US,424.73
29,2024-10-24,NVDA,53501,NVDA UW Equity,US,140.41
30,2024-10-24,XOM,25079,XOM UN Equity,US,119.59
31,2024-10-23,BRK.B,44925,BRK/B UN Equity,US,460.61
32,2024-10-23,CMB,37965,JPM UN Equity,US,223.41
33,2024-10-23,MSFT,52712,MSFT UW Equity,US,424.6
34,2024-10-23,NVDA,53501,NVDA UW Equity,US,139.56
35,2024-10-23,XOM,25079,XOM UN Equity,US,120.27
36,2024-10-22,BRK.B,44925,BRK/B UN Equity,US,461.45
37,2024-10-22,CMB,37965,JPM UN Equity,US,224.12
38,2024-10-22,MSFT,52712,MSFT UW Equity,US,427.51
39,2024-10-22,NVDA,53501,NVDA UW Equity,US,143.59
40,2024-10-22,XOM,25079,XOM UN Equity,US,120.7
41,2024-10-21,BRK.B,44925,BRK/B UN Equity,US,464.16
42,2024-10-21,CMB,37965,JPM UN Equity,US,223
43,2024-10-21,MSFT,52712,MSFT UW Equity,US,418.78
44,2024-10-21,NVDA,53501,NVDA UW Equity,US,143.71
45,2024-10-21,XOM,25079,XOM UN Equity,US,120.08
46,2024-10-18,BRK.B,44925,BRK/B UN Equity,US,464.8
47,2024-10-18,CMB,37965,JPM UN Equity,US,225.37
48,2024-10-18,MSFT,52712,MSFT UW Equity,US,418.16
49,2024-10-18,NVDA,53501,NVDA UW Equity,US,138
50,2024-10-18,XOM,25079,XOM UN Equity,US,120.01
51,2024-10-17,BRK.B,44925,BRK/B UN Equity,US,465.85
52,2024-10-17,CMB,37965,JPM UN Equity,US,224.42
53,2024-10-17,MSFT,52712,MSFT UW Equity,US,416.72
54,2024-10-17,NVDA,53501,NVDA UW Equity,US,136.93
55,2024-10-17,XOM,25079,XOM UN Equity,US,120.35
56,2024-10-16,BRK.B,44925,BRK/B UN Equity,US,465.69
57,2024-10-16,CMB,37965,JPM UN Equity,US,223.64
58,2024-10-16,MSFT,52712,MSFT UW Equity,US,416.12
59,2024-10-16,NVDA,53501,NVDA UW Equity,US,135.72
60,2024-10-16,XOM,25079,XOM UN Equity,US,120.66
61,2024-10-15,BRK.B,44925,BRK/B UN Equity,US,462.68
62,2024-10-15,CMB,37965,JPM UN Equity,US,222.39
63,2024-10-15,MSFT,52712,MSFT UW Equity,US,418.74
64,2024-10-15,NVDA,53501,NVDA UW Equity,US,131.6
65,2024-10-15,XOM,25079,XOM UN Equity,US,120.35
66,2024-10-14,BRK.B,44925,BRK/B UN Equity,US,459.98
67,2024-10-14,CMB,37965,JPM UN Equity,US,221.48
68,2024-10-14,MSFT,52712,MSFT UW Equity,US,419.14
69,2024-10-14,NVDA,53501,NVDA UW Equity,US,138.07
70,2024-10-14,XOM,25079,XOM UN Equity,US,124.08
71,2024-10-11,BRK.B,44925,BRK/B UN Equity,US,460.21
72,2024-10-11,CMB,37965,JPM UN Equity,US,222.29
73,2024-10-11,MSFT,52712,MSFT UW Equity,US,416.32
74,2024-10-11,NVDA,53501,NVDA UW Equity,US,134.8
75,2024-10-11,XOM,25079,XOM UN Equity,US,123.61
76,2024-10-10,BRK.B,44925,BRK/B UN Equity,US,454.93
77,2024-10-10,CMB,37965,JPM UN Equity,US,212.84
78,2024-10-10,MSFT,52712,MSFT UW Equity,US,415.84
79,2024-10-10,NVDA,53501,NVDA UW Equity,US,134.81
80,2024-10-10,XOM,25079,XOM UN Equity,US,123.14
81,2024-10-09,BRK.B,44925,BRK/B UN Equity,US,455.9
82,2024-10-09,CMB,37965,JPM UN Equity,US,213.42
83,2024-10-09,MSFT,52712,MSFT UW Equity,US,417.46
84,2024-10-09,NVDA,53501,NVDA UW Equity,US,132.65
85,2024-10-09,XOM,25079,XOM UN Equity,US,122.09
86,2024-10-08,BRK.B,44925,BRK/B UN Equity,US,453.8
87,2024-10-08,CMB,37965,JPM UN Equity,US,210.75
88,2024-10-08,MSFT,52712,MSFT UW Equity,US,414.71
89,2024-10-08,NVDA,53501,NVDA UW Equity,US,132.89
90,2024-10-08,XOM,25079,XOM UN Equity,US,122.04
91,2024-10-07,BRK.B,44925,BRK/B UN Equity,US,453.5
92,2024-10-07,CMB,37965,JPM UN Equity,US,210.93
93,2024-10-07,MSFT,52712,MSFT UW Equity,US,409.54
94,2024-10-07,NVDA,53501,NVDA UW Equity,US,127.72
95,2024-10-07,XOM,25079,XOM UN Equity,US,125.37
96,2024-10-04,BRK.B,44925,BRK/B UN Equity,US,461.97
97,2024-10-04,CMB,37965,JPM UN Equity,US,211.22
98,2024-10-04,MSFT,52712,MSFT UW Equity,US,416.06
99,2024-10-04,NVDA,53501,NVDA UW Equity,US,124.92
100,2024-10-04,XOM,25079,XOM UN Equity,US,124.83
101,2024-10-03,BRK.B,44925,BRK/B UN Equity,US,452.96
102,2024-10-03,CMB,37965,JPM UN Equity,US,205.23
103,2024-10-03,MSFT,52712,MSFT UW Equity,US,416.54
104,2024-10-03,NVDA,53501,NVDA UW Equity,US,122.85
105,2024-10-03,XOM,25079,XOM UN Equity,US,122.58
106,2024-10-02,BRK.B,44925,BRK/B UN Equity,US,456.67
107,2024-10-02,CMB,37965,JPM UN Equity,US,207.29
108,2024-10-02,MSFT,52712,MSFT UW Equity,US,417.13
109,2024-10-02,NVDA,53501,NVDA UW Equity,US,118.85
110,2024-10-02,XOM,25079,XOM UN Equity,US,121.52
111,2024-10-01,BRK.B,44925,BRK/B UN Equity,US,457.41
112,2024-10-01,CMB,37965,JPM UN Equity,US,207.04
113,2024-10-01,MSFT,52712,MSFT UW Equity,US,420.69
114,2024-10-01,NVDA,53501,NVDA UW Equity,US,117
115,2024-10-01,XOM,25079,XOM UN Equity,US,119.93
116,2024-09-30,BRK.B,44925,BRK/B UN Equity,US,460.26
117,2024-09-30,CMB,37965,JPM UN Equity,US,210.86
118,2024-09-30,MSFT,52712,MSFT UW Equity,US,430.3
119,2024-09-30,NVDA,53501,NVDA UW Equity,US,121.44
120,2024-09-30,XOM,25079,XOM UN Equity,US,117.22
121,2024-09-27,BRK.B,44925,BRK/B UN Equity,US,457.47
122,2024-09-27,CMB,37965,JPM UN Equity,US,210.5
123,2024-09-27,MSFT,52712,MSFT UW Equity,US,428.02
124,2024-09-27,NVDA,53501,NVDA UW Equity,US,121.4
125,2024-09-27,XOM,25079,XOM UN Equity,US,115.82
126,2024-09-26,BRK.B,44925,BRK/B UN Equity,US,454.18
127,2024-09-26,CMB,37965,JPM UN Equity,US,209.78
128,2024-09-26,MSFT,52712,MSFT UW Equity,US,431.31
129,2024-09-26,NVDA,53501,NVDA UW Equity,US,124.04
130,2024-09-26,XOM,25079,XOM UN Equity,US,112.8
131,2024-09-25,BRK.B,44925,BRK/B UN Equity,US,452.36
132,2024-09-25,CMB,37965,JPM UN Equity,US,210.19
133,2024-09-25,MSFT,52712,MSFT UW Equity,US,432.11
134,2024-09-25,NVDA,53501,NVDA UW Equity,US,123.51
135,2024-09-25,XOM,25079,XOM UN Equity,US,114.77
136,2024-09-24,BRK.B,44925,BRK/B UN Equity,US,454.56
137,2024-09-24,CMB,37965,JPM UN Equity,US,211.59
138,2024-09-24,MSFT,52712,MSFT UW Equity,US,429.17
139,2024-09-24,NVDA,53501,NVDA UW Equity,US,120.87
140,2024-09-24,XOM,25079,XOM UN Equity,US,117.05
141,2024-09-23,BRK.B,44925,BRK/B UN Equity,US,454.98
142,2024-09-23,CMB,37965,JPM UN Equity,US,211.44
143,2024-09-23,MSFT,52712,MSFT UW Equity,US,433.51
144,2024-09-23,NVDA,53501,NVDA UW Equity,US,116.26
145,2024-09-23,XOM,25079,XOM UN Equity,US,117.36
146,2024-09-20,BRK.B,44925,BRK/B UN Equity,US,455.31
147,2024-09-20,CMB,37965,JPM UN Equity,US,211.09
148,2024-09-20,MSFT,52712,MSFT UW Equity,US,435.27
149,2024-09-20,NVDA,53501,NVDA UW Equity,US,116
150,2024-09-20,XOM,25079,XOM UN Equity,US,115.27
151,2024-09-19,BRK.B,44925,BRK/B UN Equity,US,459.71
152,2024-09-19,CMB,37965,JPM UN Equity,US,210.48
153,2024-09-19,MSFT,52712,MSFT UW Equity,US,438.69
154,2024-09-19,NVDA,53501,NVDA UW Equity,US,117.87
155,2024-09-19,XOM,25079,XOM UN Equity,US,116
156,2024-09-18,BRK.B,44925,BRK/B UN Equity,US,456.6
157,2024-09-18,CMB,37965,JPM UN Equity,US,207.53
158,2024-09-18,MSFT,52712,MSFT UW Equity,US,430.81
159,2024-09-18,NVDA,53501,NVDA UW Equity,US,113.37
160,2024-09-18,XOM,25079,XOM UN Equity,US,114.58
161,2024-09-17,BRK.B,44925,BRK/B UN Equity,US,456.68
162,2024-09-17,CMB,37965,JPM UN Equity,US,209.25
163,2024-09-17,MSFT,52712,MSFT UW Equity,US,435.15
164,2024-09-17,NVDA,53501,NVDA UW Equity,US,115.59
165,2024-09-17,XOM,25079,XOM UN Equity,US,114.18
166,2024-09-16,BRK.B,44925,BRK/B UN Equity,US,451.78
167,2024-09-16,CMB,37965,JPM UN Equity,US,207.86
168,2024-09-16,MSFT,52712,MSFT UW Equity,US,431.34
169,2024-09-16,NVDA,53501,NVDA UW Equity,US,116.78
170,2024-09-16,XOM,25079,XOM UN Equity,US,112.71
171,2024-09-13,BRK.B,44925,BRK/B UN Equity,US,447.61
172,2024-09-13,CMB,37965,JPM UN Equity,US,204.32
173,2024-09-13,MSFT,52712,MSFT UW Equity,US,430.59
174,2024-09-13,NVDA,53501,NVDA UW Equity,US,119.1
175,2024-09-13,XOM,25079,XOM UN Equity,US,111.15
176,2024-09-12,BRK.B,44925,BRK/B UN Equity,US,450.87
177,2024-09-12,CMB,37965,JPM UN Equity,US,206.6
178,2024-09-12,MSFT,52712,MSFT UW Equity,US,427
179,2024-09-12,NVDA,53501,NVDA UW Equity,US,119.14
180,2024-09-12,XOM,25079,XOM UN Equity,US,111.23
181,2024-09-11,BRK.B,44925,BRK/B UN Equity,US,453.1
182,2024-09-11,CMB,37965,JPM UN Equity,US,207.23
183,2024-09-11,MSFT,52712,MSFT UW Equity,US,423.04
184,2024-09-11,NVDA,53501,NVDA UW Equity,US,116.91
185,2024-09-11,XOM,25079,XOM UN Equity,US,109.72
186,2024-09-10,BRK.B,44925,BRK/B UN Equity,US,458.92
187,2024-09-10,CMB,37965,JPM UN Equity,US,205.56
188,2024-09-10,MSFT,52712,MSFT UW Equity,US,414.2
189,2024-09-10,NVDA,53501,NVDA UW Equity,US,108.1
190,2024-09-10,XOM,25079,XOM UN Equity,US,110.82
191,2024-09-09,BRK.B,44925,BRK/B UN Equity,US,459.61
192,2024-09-09,CMB,37965,JPM UN Equity,US,216.81
193,2024-09-09,MSFT,52712,MSFT UW Equity,US,405.72
194,2024-09-09,NVDA,53501,NVDA UW Equity,US,106.47
195,2024-09-09,XOM,25079,XOM UN Equity,US,115.01
196,2024-09-06,BRK.B,44925,BRK/B UN Equity,US,459.42
197,2024-09-06,CMB,37965,JPM UN Equity,US,212.46
198,2024-09-06,MSFT,52712,MSFT UW Equity,US,401.7
199,2024-09-06,NVDA,53501,NVDA UW Equity,US,102.83
200,2024-09-06,XOM,25079,XOM UN Equity,US,112.64
201,2024-09-05,BRK.B,44925,BRK/B UN Equity,US,464.92
202,2024-09-05,CMB,37965,JPM UN Equity,US,217.63
203,2024-09-05,MSFT,52712,MSFT UW Equity,US,408.39
204,2024-09-05,NVDA,53501,NVDA UW Equity,US,107.21
205,2024-09-05,XOM,25079,XOM UN Equity,US,113.17
206,2024-09-04,BRK.B,44925,BRK/B UN Equity,US,478.57
207,2024-09-04,CMB,37965,JPM UN Equity,US,219.33
208,2024-09-04,MSFT,52712,MSFT UW Equity,US,408.9
209,2024-09-04,NVDA,53501,NVDA UW Equity,US,106.21
210,2024-09-04,XOM,25079,XOM UN Equity,US,114.06
211,2024-09-03,BRK.B,44925,BRK/B UN Equity,US,476.83
212,2024-09-03,CMB,37965,JPM UN Equity,US,220.3
213,2024-09-03,MSFT,52712,MSFT UW Equity,US,409.44
214,2024-09-03,NVDA,53501,NVDA UW Equity,US,108
215,2024-09-03,XOM,25079,XOM UN Equity,US,115.47
216,2024-08-30,BRK.B,44925,BRK/B UN Equity,US,475.92
217,2024-08-30,CMB,37965,JPM UN Equity,US,224.8
218,2024-08-30,MSFT,52712,MSFT UW Equity,US,417.14
219,2024-08-30,NVDA,53501,NVDA UW Equity,US,119.37
220,2024-08-30,XOM,25079,XOM UN Equity,US,117.94
221,2024-08-29,BRK.B,44925,BRK/B UN Equity,US,468.37
222,2024-08-29,CMB,37965,JPM UN Equity,US,222.21
223,2024-08-29,MSFT,52712,MSFT UW Equity,US,413.12
224,2024-08-29,NVDA,53501,NVDA UW Equity,US,117.59
225,2024-08-29,XOM,25079,XOM UN Equity,US,118.13
226,2024-08-28,BRK.B,44925,BRK/B UN Equity,US,464.59
227,2024-08-28,CMB,37965,JPM UN Equity,US,221.29
228,2024-08-28,MSFT,52712,MSFT UW Equity,US,410.6
229,2024-08-28,NVDA,53501,NVDA UW Equity,US,125.61
230,2024-08-28,XOM,25079,XOM UN Equity,US,116.52
231,2024-08-27,BRK.B,44925,BRK/B UN Equity,US,460.63
232,2024-08-27,CMB,37965,JPM UN Equity,US,220.18
233,2024-08-27,MSFT,52712,MSFT UW Equity,US,413.84
234,2024-08-27,NVDA,53501,NVDA UW Equity,US,128.3
235,2024-08-27,XOM,25079,XOM UN Equity,US,117.68
236,2024-08-26,BRK.B,44925,BRK/B UN Equity,US,454.49
237,2024-08-26,CMB,37965,JPM UN Equity,US,219.17
238,2024-08-26,MSFT,52712,MSFT UW Equity,US,413.49
239,2024-08-26,NVDA,53501,NVDA UW Equity,US,126.46
240,2024-08-26,XOM,25079,XOM UN Equity,US,118.81
241,2024-08-23,BRK.B,44925,BRK/B UN Equity,US,453.38
242,2024-08-23,CMB,37965,JPM UN Equity,US,218.31
243,2024-08-23,MSFT,52712,MSFT UW Equity,US,416.79
244,2024-08-23,NVDA,53501,NVDA UW Equity,US,129.37
245,2024-08-23,XOM,25079,XOM UN Equity,US,116.32
246,2024-08-22,BRK.B,44925,BRK/B UN Equity,US,449.03
247,2024-08-22,CMB,37965,JPM UN Equity,US,216.63
248,2024-08-22,MSFT,52712,MSFT UW Equity,US,415.55
249,2024-08-22,NVDA,53501,NVDA UW Equity,US,123.74
250,2024-08-22,XOM,25079,XOM UN Equity,US,114.73
251,2024-08-21,BRK.B,44925,BRK/B UN Equity,US,446.6
252,2024-08-21,CMB,37965,JPM UN Equity,US,214.6
253,2024-08-21,MSFT,52712,MSFT UW Equity,US,424.14
254,2024-08-21,NVDA,53501,NVDA UW Equity,US,128.5
255,2024-08-21,XOM,25079,XOM UN Equity,US,113.85
256,2024-08-20,BRK.B,44925,BRK/B UN Equity,US,448.36
257,2024-08-20,CMB,37965,JPM UN Equity,US,214.52
258,2024-08-20,MSFT,52712,MSFT UW Equity,US,424.8
259,2024-08-20,NVDA,53501,NVDA UW Equity,US,127.25
260,2024-08-20,XOM,25079,XOM UN Equity,US,114.58
261,2024-08-19,BRK.B,44925,BRK/B UN Equity,US,448.77
262,2024-08-19,CMB,37965,JPM UN Equity,US,215.45
263,2024-08-19,MSFT,52712,MSFT UW Equity,US,421.53
264,2024-08-19,NVDA,53501,NVDA UW Equity,US,130
265,2024-08-19,XOM,25079,XOM UN Equity,US,118.53
266,2024-08-16,BRK.B,44925,BRK/B UN Equity,US,444.51
267,2024-08-16,CMB,37965,JPM UN Equity,US,213.97
268,2024-08-16,MSFT,52712,MSFT UW Equity,US,418.47
269,2024-08-16,NVDA,53501,NVDA UW Equity,US,124.58
270,2024-08-16,XOM,25079,XOM UN Equity,US,118.17
271,2024-08-15,BRK.B,44925,BRK/B UN Equity,US,440.84
272,2024-08-15,CMB,37965,JPM UN Equity,US,211.55
273,2024-08-15,MSFT,52712,MSFT UW Equity,US,421.03
274,2024-08-15,NVDA,53501,NVDA UW Equity,US,122.86
275,2024-08-15,XOM,25079,XOM UN Equity,US,118.73
276,2024-08-14,BRK.B,44925,BRK/B UN Equity,US,438.47
277,2024-08-14,CMB,37965,JPM UN Equity,US,210.24
278,2024-08-14,MSFT,52712,MSFT UW Equity,US,416.86
279,2024-08-14,NVDA,53501,NVDA UW Equity,US,118.08
280,2024-08-14,XOM,25079,XOM UN Equity,US,118.95
281,2024-08-13,BRK.B,44925,BRK/B UN Equity,US,432.41
282,2024-08-13,CMB,37965,JPM UN Equity,US,207.94
283,2024-08-13,MSFT,52712,MSFT UW Equity,US,414.01
284,2024-08-13,NVDA,53501,NVDA UW Equity,US,116.14
285,2024-08-13,XOM,25079,XOM UN Equity,US,117.86
286,2024-08-12,BRK.B,44925,BRK/B UN Equity,US,430.39
287,2024-08-12,CMB,37965,JPM UN Equity,US,206.19
288,2024-08-12,MSFT,52712,MSFT UW Equity,US,406.81
289,2024-08-12,NVDA,53501,NVDA UW Equity,US,109.02
290,2024-08-12,XOM,25079,XOM UN Equity,US,119
291,2024-08-09,BRK.B,44925,BRK/B UN Equity,US,431.67
292,2024-08-09,CMB,37965,JPM UN Equity,US,205.8
293,2024-08-09,MSFT,52712,MSFT UW Equity,US,406.02
294,2024-08-09,NVDA,53501,NVDA UW Equity,US,104.75
295,2024-08-09,XOM,25079,XOM UN Equity,US,118.85
296,2024-08-08,BRK.B,44925,BRK/B UN Equity,US,431.54
297,2024-08-08,CMB,37965,JPM UN Equity,US,204.06
298,2024-08-08,MSFT,52712,MSFT UW Equity,US,402.69
299,2024-08-08,NVDA,53501,NVDA UW Equity,US,104.97
300,2024-08-08,XOM,25079,XOM UN Equity,US,117.89
301,2024-08-07,BRK.B,44925,BRK/B UN Equity,US,427.02
302,2024-08-07,CMB,37965,JPM UN Equity,US,200.4
303,2024-08-07,MSFT,52712,MSFT UW Equity,US,398.43
304,2024-08-07,NVDA,53501,NVDA UW Equity,US,98.91
305,2024-08-07,XOM,25079,XOM UN Equity,US,115.68
306,2024-08-06,BRK.B,44925,BRK/B UN Equity,US,422.14
307,2024-08-06,CMB,37965,JPM UN Equity,US,200.34
308,2024-08-06,MSFT,52712,MSFT UW Equity,US,399.61
309,2024-08-06,NVDA,53501,NVDA UW Equity,US,104.25
310,2024-08-06,XOM,25079,XOM UN Equity,US,114.16
311,2024-08-05,BRK.B,44925,BRK/B UN Equity,US,413.72
312,2024-08-05,CMB,37965,JPM UN Equity,US,194.9
313,2024-08-05,MSFT,52712,MSFT UW Equity,US,395.15
314,2024-08-05,NVDA,53501,NVDA UW Equity,US,100.45
315,2024-08-05,XOM,25079,XOM UN Equity,US,114.77
316,2024-08-02,BRK.B,44925,BRK/B UN Equity,US,428.36
317,2024-08-02,CMB,37965,JPM UN Equity,US,199.14
318,2024-08-02,MSFT,52712,MSFT UW Equity,US,408.49
